Drug Name,Indication
Medroxyprogesterone acetate,"Medroxyprogesterone acetate (MPA) oral tablets are indicated to treat secondary amenorrhea, reduce the incidence of endometrial hyperplasia in postmenopausal women, and to treat abnormal uterine bleeding due to hormonal imbalance, not organic pathology.[L8657] Oral tablets containing MPA and conjugated estrogens are indicated to prevent postmenopausal osteoporosis and to treat moderate to severe menopausal symptoms such as vasomotor symptoms, vulvar atrophy, and vaginal atrophy.[L8660] Subcutaneous MPA is indicated to prevent pregnancy and manage pain associated with endometriosis.[L8663] Intramuscular MPA is indicated to prevent pregnancy,[L8666] and at higher concentrations for palliative treatment of endometrial or renal carcinoma.[L8669]"
Imatinib,"Imatinib is indicated for the treatment of adult and pediatric chronic myeloid leukemia with Philadelphia chromosome mutation (Ph+) in blast crisis, accelerated phase, or chronic phase after IFN-alpha therapy failure.[L42080] Additionally, imatinib is also indicated to treat adult and pediatric Ph+ acute lymphoblastic leukemia, adult myelodysplastic/myeloproliferative diseases, adult aggressive systemic mastocytosis, adult hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), adult dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).[L42080]"
Triamcinolone,"Triamcinolone hexacetonide injections are indicated for intralesional administration in alopecia areata, discoid lupus erythematosus, keloids, and necrobiosis lipoidica diabeticorum.[L8246] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8246]

Triamcinolone acetonide spray and cream are indicated for the treatment of inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L8249,L8258] A triamcinolone acetonide 10mg/mL or 40mg/mL injection is indicated intra-articularly for acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, and synovitis of osteoarthritis.[L8252,L8255] The same 10mg/mL injection is indicated by the intralesional route for the treatment of alopecia areata, discoid lupus erythematosus, keloids, necrobiosis lipoidica diabeticorum, and tumors of an aponeurosis or tendon.[L8252] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8252] The 40mg/mL injection is indicated intramuscularly for controlling severe allergic conditions such as asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity, perennial or seasonal allergic rhinitis, serum sickness, and transfusion reactions; treatment of bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, Stevens-Johnson syndrome, congenital adrenal hyperplasia, hypercalcemia in
cancer, nonsuppurative thyroiditis, autoimmune hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, secondary thrombocytopenia, trichinosis, tuberculous meningitis, acute exacerbations of multiple sclerosis or cerebral edema, sympathetic ophthalmia, temporal arteritis, uveitis, ocular inflammation, berylliosis, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis, dermatomyositis, polymyositis, and systemic lupus erythematosus; adjunct treatment of adrenocortical insufficiency, regional enteritis, ulcerative colitis, fulminating or disseminated pulmonary tuberculosis, acute gouty arthritis, acute rheumatic carditis, ankylosing spondylitis, psoriatic arthritis, rheumatoid arthritis; palliative management of leukemia and lymphoma; induction of diuresis or remission of proteinuria in idiopathic nephrotic syndrome or lupus erythematosus.[L8255] A triamcinolone intravitreal injection is indicated for the treatment of sympathetic ophthalmia, temporal arteritis, uveitis, and ocular inflammatory conditions.[L8261] The intravitreal injection is also used for visualization during vitrectomy.[L8261] An extended release suspension is indicated intra-articularly for management of pain in osteoarthritis of the knee.[L8264]

A triamcinolone acetonide suspension for injection into the suprachoroidal space is indicated for the treatment of macular edema associated with uveitis.[L38963]"
Pemetrexed,"Pemetrexed is indicated for the treatment of the following conditions:

**Non-squamous non-small cell lung cancer (NSCLC)**

- in combination with [pembrolizumab] and platinum-based chemotherapy as initial treatment in metastatic disease where no EGFR or ALK genomic tumour aberrations exist [L40943]
- in combination with [cisplatin] as initial treatment for locally advanced or metastatic disease [L40943,L44883]
- as maintenance treatment for locally advanced or metastatic disease that has not progressed following four cycles of platinum-based chemotherapy [L40943,L44883]
- recurrent metastatic disease following prior chemotherapy [L40943]
- as monotherapy for the second-line treatment of patients with locally advanced or metastatic non-squamous non-small cell lung cancer [L44883]

**Malignant pleural mesothelioma**

- in combination with [cisplatin] for the initial treatment of patients with malignant pleural mesothelioma.[L40943,L44883] In the US, it is reserved for patients whose disease is unresectable or otherwise not candidates for curative surgery.[L40943]"
Gonadorelin,For evaluating the functional capacity and response of the gonadotropes of the anterior pituitary also for evaluating residual gonadotropic function of the pituitary following removal of a pituitary tumor by surgery and/or irradiation.
Mitotane,"Mitotane is indicated for the treatment of inoperable, functional or nonfunctional, adrenocortical carcinoma.[L49570]"
Leucovorin,"For the treatment of osteosarcoma (after high dose methotrexate therapy). Used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists, and to treat megaloblastic anemias due to folic acid deficiency. Also used in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer."
Nilutamide,"For use in combination with surgical castration for the treatment of metastatic prostate cancer involving distant lymph nodes, bone, or visceral organs (Stage D2)."
Aprepitant,"For the prevention of nausea and vomiting associated with highly emetogenic cancer chemotherapy, including high-dose cisplatin (in combination with other antiemetic agents)."
Tamoxifen,"Tamoxifen is indicated to treat estrogen receptor positive metastatic breast cancer in adults, as an adjuvant in the treatment of early stage estrogen receptor positive breast cancer in adults, to reduce the risk of invasive breast cancer after surgery and radiation in adult women with ductal carcinoma in situ.[L7802]"
Midazolam,"Midazolam has different indications depending on its formulation by the FDA. 

**Nasal** 

For the nasal spray formulation, midazolam is indicated for the acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patient’s usual seizure pattern in patients with epilepsy 12 years of age and older.[L44773] 

**Intravenous** 

For the intravenous injection formulation, midazolam is indicated as an agent for sedation/anxiolysis/amnesia and prior to or during diagnostic, therapeutic or endoscopic procedures, such as bronchoscopy, gastroscopy, cystoscopy, coronary angiography, cardiac catheterization, oncology procedures, radiologic procedures, suture of lacerations and other procedures either alone or in combination with other CNS depressants.[L12981] The sedative, anxiolytic and amnestic use of midazolam can also be employed pre-operatively.[L12981] It can also be indicated for induction of general anesthesia, before administration of other anesthetic agents or as a component of intravenous supplementation of nitrous oxide and oxygen for a balanced anesthesia.[L12981] A relatively narrower dose range of midazolam and a shorter period of induction can be achieved if midazolam is combined with narcotic premedication.[L12981] Finally, midazolam can be indicated as a continous intravenous infusion for sedation of intubated and mechanically ventilated patients as a component of anesthesia or during treatment in a critical care setting.[L12981]

**Intramuscular** 

For the intramusuclar injection formulation, midazolam is indicated for preoperative sedation/anxiolysis/amnesia or for treatment of status epilepticus in adults.[L12981,L45048]

**Oral**

Midazolam syrup is indicated for use in pediatric patients for sedation, anxiolysis and amnesia prior to diagnostic, therapeutic or endoscopic procedures or before induction of anesthesia. It is only approved in monitored settings only and not for chronic or home use.[L5092]

In Europe, a buccal formulation of midazolam is also approved for the treatment of prolonged, acute, convulsive seizures in infants, toddlers, children and adolescents (from 3 months to < 18 years). For infants between 3-6 months of age treatment should be in a hospital setting where monitoring is possible and resuscitation equipment is available.[L45053]"
